EHTOKOODI;EHTO;EHTOR
E447;Hoito on aloitettava ja toteutettava eturauhassyövän lääkehoitoon perehtyneen erikoislääkärin valvonnassa.;Behandlingen ska inledas och övervakas av specialistläkare med erfarenhet av att behandla prostatacancer.
E428;Tolvaptaanihoito on aloitettava ja sitä on seurattava sellaisten lääkärien valvonnassa, jotka ovat ADPKD:n hoidon asiantuntijoita ja jotka ymmärtävät täysin tolvaptaanihoitoon liittyvät riskit, maksatoksisuus mukaan lukien, ja seurantavaatimukset.;Tolvaptanbehandling måste sättas in och övervakas under ledning av läkare med specialkunskap om hantering av ADPKD och fullständig kännedom om riskerna med tolvaptanbehandling inklusive levertoxicitet och övervakningskrav.
E449;Hoidon saa aloittaa vain silmätautien erikoislääkäri tai silmätautioppiin perehtynyt terveydenhuollon ammattilainen.;Behandling bör initieras av en oftalmolog eller annan hälso- och sjukvårdspersonal med erfarenhet inom oftalmologi.
E425;Hoito tulee aloittaa ja toteuttaa nivelreuman, CAPS-oireyhtymien, FMF:n ja Stillin taudin diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av en specialistläkare som har erfarenhet av diagnostisering och behandling av RA, CAPS, FMF respektive Stills sjukdom.
E434;Valmistetta saavat antaa vain asianmukaisen koulutuksen saaneet lääkärit, joilla on kokemusta hoitojen antamisesta ja vaadittavien laitteiden käytöstä.;Preparatet får endast utföras av läkare som har tillbörlig utbildning i och erfarenhet av sådana behandlingar och i att använda den utrustning som behövs.
E454;Valmiste on annettava ympäristössä, jossa on paikalla koulutettua henkilökuntaa ja välineistöä niin että potilaita, joilla ilmenee neurologista tai sydäntoksisuutta, voidaan hoitaa nopeasti.;Preparatet ska administreras i en miljö där det finns utbildad personal och utrustning för att omedelbart behandla patienter som visar tecken på neurotoxicitet eller hjärttoxicitet.
E421;Hoidon aloittaa ja antaa verkkokalvokirurgi, jolla on kokemusta makulakirurgiasta.;Behandlingen bör påbörjas och administreras av en näthinnekirurg med erfarenhet av makulakirurgi.
E429;Lääkehoito tulee aloittaa vain perinnöllistä angioedeemaa (HAE) sairastavien potilaiden hoitoon perehtyneen lääkärin valvonnassa.;Behandling med detta läkemedel ska inledas under överinseende av läkare med erfarenhet av behandling av patienter med hereditärt angioödem (HAE).
E430;Valmistetta saa antaa vain allogeeniseen hematopoieettisten kantasolujen siirtoon ja sitä edeltävään esihoitoon perehtyneen lääkärin valvonnassa.;Administrering av preparatet ska övervakas av en läkare med erfarenhet av konditioneringsbehandling följt av allo-HSCT.
E437;Valmistetta määräävällä lääkärillä on oltava kokemusta sokin hoidosta, ja valmiste on tarkoitettu käytettäväksi akuuttihoito- ja sairaalaympäristössä.;Preparatet ska ordineras av läkare med erfarenhet av chockbehandling och är avsett för användning i en akutsituation och i sjukhusmiljö.
E442;Infektiosairauksien hoitoon perehtyneen lääkärin konsultointia suositellaan ennen kuin lääkevalmistetta käytetään aerobisten gramnegatiivisten bakteerien aiheuttamien infektioiden hoitoon aikuisille, joiden hoitovaihtoehdot ovat rajalliset.;Det rekommenderas att läkemedlet används för behandling av infektioner orsakade av gramnegativa aeroba organismer hos vuxna patienter med begränsade behandlingsalternativ endast efter samråd med läkare som har lämplig erfarenhet av att behandla infektionssjukdomar.
E426;Hoidon aloittaa ja sitä valvoo lääkäri, joka on perehtynyt tromboottisia mikroangiopatioita sairastavien potilaiden hoitoon.;Behandling bör initieras och övervakas av läkare med erfarenhet av behandling av patienter med trombotiska mikroangiopatier.
E427;Lisäkilpirauhasten vajaatoimintaa sairastavien potilaiden hoitoon perehtyneen lääkärin tai muun siihen pätevöityneen terveydenhuollon ammattilaisen on valvottava hoitoa.;Behandling ska bevakas av läkare eller annan behörig hälso- och sjukvårdspersonal med erfarenhet av behandling av patienter med hypoparatyreoidism.
E438;Epilepsian hoitoon perehtyneen lääkärin tulee aloittaa lääkehoito ja valvoa sitä.;Behandling ska initieras och övervakas av läkare med erfarenhet av behandling av epilepsi.
E439;Hoidon saa aloittaa vain erikoislääkäri, jolla on kokemusta Wilsonin taudin hoidosta.;Behandling ska endast initieras av specialistläkare med erfarenhet av behandling av Wilsons sjukdom.
E443;Päätöksen tämän valmisteen määräämisestä tekee psykiatri tai hänen valvonnassaan oleva lääkäri. Valmistetta saa toimittaa edellyttäen että potilas on allekirjoittanut apteekkisopimuksen. Apteekki toimittaa valmisteen hoitopaikkaan, jossa annostelu tapahtuu. Lääkettä ei saa luovuttaa apteekista suoraan potilaalle. Valmiste on tarkoitettu potilaan itse annosteltavaksi terveydenhuollon ammattilaisen suorassa valvonnassa. Hoitokertaan kuuluu nenäsumutteen annostelu ja annostelun jälkeinen tarkkailu. Tämän valmisteen sekä annostelun että annostelun jälkeisen tarkkailun pitää tapahtua asianmukaisessa hoitopaikassa.;Förskrivningen av preparatet bör beslutas av en psykiatriker eller under överinseende av en psykiatriker. Preparatet får expedieras under förutsättning att patienten har undertecknat ett apoteksavtal. Apoteket expedierar preparatet till vårdin-rättningen där administrationen sker. Preparatet får ej överlåtas från apoteket direkt till patienten. Preparatet är avsett för självadministrering av patienten under direkt uppsikt av sjukvårdspersonal. Ett behandlingstillfälle består av nasal administrering av preparatet och en efterföljande observationsperiod. Både administrering och den efter-följande observationsperioden ska genomföras på lämplig vårdinrättning.
E451;Käyttö on rajoitettu hoitoyksiköihin, joissa potilaita voidaan seurata tarkasti.;Användning begränsas till sjukvårdsanläggningar där patienter kan övervakas noggrant.
E422;Hoidon saa aloittaa nivelreuman, yleisoireisen lastenreuman tai polyartriitin, jättisoluarteriitin tai sytokiinien vapautumisoireyhtymän diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandling ska initieras av sjukvårdspersonal med erfarenhet av diagnos och behandling av RA, sJIA, pJIA, jättecellsarterit eller cytokinfrisättningssyndrom.
E431;Valmistetta saa käyttää vain kasvuhormonin puutoksen diagnosointiin perehtyneen lääkärin tai terveydenhuollon ammattilaisen valvonnassa.;Användningen av preparatet måste övervakas av läkare eller hälso- och sjukvårdspersonal med erfarenhet av diagnostisering av tillväxthormonbrist.
E432;Hoidon tulee tapahtua vastasyntyneiden tehohoitoon tai sydän- ja rintaelinkirurgian anestesiaan ja tehohoitoon perehtyneen lääkärin valvonnassa.;Behandling skall ske under övervakning av läkare med erfarenhet av intensivvård av nyfödda eller av anestesi vid hjärt- och thoraxkirurgi samt intensivvård.
E435;Hoidon saa aloittaa vain vaikean astman diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandlingen ska inledas endast av läkare med erfarenhet av diagnostik och behandling av svår astma.
E444;Hoito on aloitettava amyloidoosin tai kardiomyopatian hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör inledas under tillsyn av läkare med kunskap om behandling av patienter med amyloidos eller kardiomyopati.
E445;Hoito on aloitettava transtyretiinivälitteisen amyloidipolyneuropatian (ATTR-PN) hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör inledas under tillsyn av läkare med kunskap om behandling av patienter med TTR-amyloidos med polyneuropati (ATTR-PN).
E446;Hoito pitää aloittaa sellaisen terveydenhuollon ammattilaisen valvonnassa, jolla on kokemusta porfyrian hoidosta.;Behandling ska inledas under överinseende av hälso- och sjukvårdspersonal med erfarenhet av behandling av porfyri.
E453;Hoidon saa aloittaa vain lääkäri, jolla on kokemusta HDV-infektiota sairastavien potilaiden hoidosta.;Behandling bör inledas av läkare med erfarenhet av behandling av patienter med HDV-infektion.
E2C;Sairaalakäyttöön, anestesiologian erikoislääkäreiden käyttöön tai heidän valvonnassaan tapahtuvaan hoitoon. Valmistetta saadaan toimittaa vain erillisellä alkuperäisellä lääkemääräyksellä.;För bruk i sjukhus och specialister i anestesiologi eller i av dem övervakad vård. Preparatet får expedieras endast mot skilt originalrecept.
E458;Valmisteen käyttöaiheissa mainittujen sairauksien hoitoon perehtyneen lääkärin on aloitettava hoito.;Behandlingen måste påbörjas av en läkare med erfarenhet av behandling av sjukdomar nämnda i produktens terapeutiska indikationer.
E5C;Vain naistentautien ja synnytysten sekä ihotautien erikoislääkärin tai hänen valvonnassaan toimivan lääkärin määräyksellä.;Endast mot recept utfärdat av eller under överinseende av specialist i kvinnosjukdomar och förlossningar samt av specialist i hudsjukdomar.
E13;Valmistetta saadaan käyttää vain naistentautien ja synnytysten erikoislääkäreiden tai alan sairaalassa työskentelevien lääkäreiden valvonnan alaisena.;Preparatet får användas endast under övervakning av specialister i kvinnosjukdomar och förlossningar eller sjukhusläkare på motsvarande område.
E29;Vain sisätautien erikoislääkäreiden määräyksellä ja lastenkardiologian erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i inre medicin samt av specialister i barnkardiologi.
E31A;Valmistetta saavat määrätä psykiatrian erikoislääkärit, psykiatrian sairaaloissa, keskuslaitoksissa tai psykiatrian erikoissairaanhoidon avohoitoyksiköissä toimivat lääkärit sekä lääkärit, jotka ovat hyvin perehtyneitä psyykkisten sairauksien hoitoon klotsapiinilla ja haittavaikutusten seurantaan. Käyttöaiheella "Parkinsonin tautiin liittyvä psykoosi" valmistetta saavat määrätä myös neurologian erikoislääkärit. Valmistetta saa määrätä enintään sen määrän mitä tarvitaan kahden verikontrollin välillä.;Preparatet får förskrivas av specialister i psykiatri, på psykiatriska sjukhus, centralanstalter eller inom den psykiatriska specialsjukvårdens enheter för öppenvård samt av läkare med erfarenhet av behandling med klozapin av psykiska sjukdomar och uppföljning av biverkningar. Preparatet får förskrivas i indikation "psykos vid Parkinsons sjukdom" också av specialister i neurologi. Preparatet får förskrivas högst i den mängd, som används mellan två blodkontroller.
E51;Dosetakseli tulee antaa solunsalpaajalääkityksen antoon erikoistuneissa yksiköissä ja syöpälääkitykseen perehtyneen lääkärin valvonnassa.;Användningen av docetaxel bör begränsas till enheter specialiserade på behandling med cytostatika och bör endast administreras under överinseende av legitimerad läkare med särskild erfarenhet av kemoterapi hos cancerpatienter.
E70;Hoidon aloittavan ja sitä valvovan lääkärin tulee olla perehtynyt Alzheimerin taudin (dementian) diagnosointiin ja hoitoon.;Behandling bör initieras och övervakas av läkare med erfarenhet av diagnos och behandling av Alzheimers sjukdom.
E81;Lääkettä tulee käyttää vain sosiaali- ja terveysministeriön asetuksen "opioidiriippuvaisten vieroitus- ja korvaushoidosta eräillä lääkkeillä" mukaisesti ja siinä määrätyissä yksiköissä, joissa lääke luovutetaan käyttöön valvotusti. Sitä ei saa määrätä toimitettavaksi apteekista.;Preparatet får användas endast enligt social- och hälsovårdsministeriets förordning "om avgiftning och substitutionsbehandling av opioidberoende personer med vissa läkemedel" på däri nämnda enheter, där läkemedlet lämnas ut för kontrollerad konsumtion. Läkemedlet får inte förskrivas för expediering på apotek.
E109;Hoito on aloitettava ja annettava ennenaikaisen synnytyksen hoitoon perehtyneen lääkärin toimesta.;Behandling ska initieras och fullföljas av läkare med erfarenhet från behandling av för tidigt värkarbete.
E127;Valmistetta tulisi käyttää ainoastaan antineoplastisten lääkeaineiden käyttöön perehtyneen lääkärin määräyksellä.;Preparatet bör endast förskrivas av läkare med erfarenhet av behandling med antineoplastiska läkemedel.
E145;Hoito tulee aloittaa tilanteesta riippuen hematologista syöpäsairautta tai pahanlaatuista sarkoomaa sairastavien potilaiden hoitoon perehtyneen lääkärin toimesta.;Behandling skall lämpligen inledas av läkare med erfarenhet av behandling av patienter med hematologiska maligniteter och maligna sarkom.
E149;Valmistetta saa toimittaa ainoastaan keuhkosairauksien, kardiologian, reumatologian tai sisätautien erikoislääkärin tai hänen valvonnassaan sairaalan poliklinikalla tai osastolla toimivan lääkärin määräyksellä.;Preparatet får expedieras endast på ordination av en specialist i lungsjukdomar, kardiologi, reumatologi eller inremedicin eller av en läkare under hens övervakning på en sjukhuspoliklinik eller avdelningen.
E171;Valmistetta saa antaa vain syövän kemoterapian antoon perehtyneen lääkärin valvonnassa.;Administrering av preparatet får endast ske under överinseende av läkare med erfarenhet av cytostatikabehandling.
E172;Valmistetta saa antaa lääkäri, jolla on kokemusta joko akuuttien sepelvaltimotautikohtausten hoidosta tai angioplastiatoimenpiteistä.;Preparatet skall administreras av en läkare med erfarenhet av antingen akut ischemisk hjärtsjukvård eller koronarinterventionsbehandling.
E177;Hoitavan lääkärin tulee olla perehtynyt syövän hoitoon.;Behandling bör endast initieras av läkare med erfarenhet av cancerbehandling.
E181;Lääkärillä, joka aloittaa hoidon tulee olla kokemusta essentiaalisen trombosytemian (ET) hoidosta.;Behandling bör sättas in av en läkare med erfarenhet av att hantera essentiell trombocytemi (ET).
E183;Valmistetta saadaan toimittaa vain ihotautien erikoislääkärin tai hänen valvonnassaan toimivan lääkärin määräyksellä. Lääkkeen määrääminen ja toimittaminen naisille, jotka voivat tulla raskaaksi, on rajoitettu 30 päivän lääkitykseen yhdellä reseptillä, ja hoidon jatkaminen vaatii uuden lääkemääräyksen. Naisille, jotka voivat tulla raskaaksi, kirjoitettu lääkemääräys on voimassa seitsemän (7) päivää lääkemääräyksen kirjoittamisesta.;Preparatet får expedieras endast mot recept utfärdat av eller under överinseende av specialist i hudsjukdomar. Förskrivning och expediering av läkemedlet åt fertila kvinnor begränsas till behandling för 30 dygn med ett och samma recept, och fortsatt behandling förutsätter ett nytt recept. Recept som utfärdats åt fertila kvinnor är i kraft i sju (7) dygn från och med förskrivningsdatum.
E230;Valmisteen käyttö opioidiriippuvaisten henkilöiden vieroitus- tai korvaushoidossa on luvallista vain siten rajattuna kuin sosiaali- ja terveysministeriön asetuksessa N:o 33/2008 on esitetty. Valmistetta saadaan toimittaa vain lääkärin erillisellä alkuperäisellä reseptillä, edellyttäen että potilas on allekirjoittanut asetuksessa tarkoitetun apteekkisopimuksen.;Användning av läkemedelspreparat vid avgiftning eller ersättningsterapi gällande personer med opioidberoende är tillåten endast med de begränsningar som anges i social- och hälsovårdsministeriets förordning Nr 33/2008. Preparatet får expedieras endast mot skilt originalrecept, under förutsättning att patienten har undertecknat apoteksavtal som avses i förordning.
E237;Hoidon saa aloittaa ADHD- oireyhtymän hoitoon perehtynyt lääkäri.;Behandling skall endast initieras av läkare med erfarenhet av att behandla ADHD-syndrom.
E278;Vain sairaalakäyttöön. Lääkettä saavat antaa vain tehohoitopotilaiden hoitoon perehtyneet terveydenhuollon ammattilaiset.;Enbart för sjukhusbruk. Läkemedel ska administreras av sjukvårdspersonal med erfarenhet av att vårda intensivvårdspatienter.
E298;Pagetin luutautia hoidettaessa tsoledronihappoa saa määrätä vain Pagetin luutaudin hoitoon perehtynyt lääkäri.;För behandling av Pagets sjukdom: zoledronsyra skall endast förskrivas av läkare med erfarenhet av behandling av Pagets sjukdom.
E307;Vain erikoissairaanhoidon lastentautien, lastenneurologian, lastenpsykiatrian, nuorisopsykiatrian, neurologian tai psykiatrian yksiköiden lääkäreiden tai muiden em. erikoisalojen ADHD-oireyhtymän hoitoon perehtyneiden erikoislääkäreiden määräyksellä.;Endast på ordination av läkare från specialistsjukvårdens enheter inom barnsjukdomar, barnneurologi, barnpsykiatri, ungdomspsykiatri, neurologi eller psykiatri, eller av läkare med specialistkompetens i ovan nämnda områden och med erfarenhet av vård av ADHD-syndrom.
E319;Korvaushoito on aloitettava ja sitä on seurattava immuunipuutostilojen hoitoon perehtyneen lääkärin valvonnassa.;Substitutionsterapi ska påbörjas och följas under överinseende av läkare med erfarenhet av behandling av immunbristtillstånd.
E371;1.) Voidaan toimittaa ilman lääkärin määräystä vain aikuiselle (vähintään 18-vuotiaalle), jonka painoindeksi on vähintään 28 kg/m2. 2.) Valmistetta luovutettaessa on apteekin farmaseuttisen henkilökunnan annettava asiakkaalle myyntiluvan haltijan toimittaman kirjallisen materiaalin mukaista lääkeneuvontaa.;1.) Preparatet får expedieras utan recept endast åt en vuxen (minst 18 år) med ett kroppsmasseindex på minst 28 kg/m2. 2.) Innan läkemedelspreparatet kan överlåtas till kunden, skall apotekets farmaceutiska personal informera kunden enligt den läkemedelsinformation som innehavaren av försäljningstillståndet har erbjudit.
E462;Valmisteen käyttöaiheissa mainittujen sairauksien diagnosointiin ja hoitoon perehtyneen erikoislääkärin on aloitettava hoito.;Behandlingen måste påbörjas av en specialläkare med erfarenhet av diagnos och behandling av sjukdomar nämnda i produktens terapeutiska indikationer.
E394;1.) Asiakkaalle luovutetaan vain yksi (1 tabletin) pakkaus kerrallaan, paitsi niissä valmisteyhteenvedossa mainituissa tilanteissa, jolloin tulee ottaa kaksinkertainen annos. 2.) Valmistetta luovutettaessa on apteekin farmaseuttisen henkilökunnan annettava asiakkaalle myyntiluvan haltijan toimittaman kirjallisen materiaalin mukaista lääkeneuvontaa.;1.) Endast en förpackning (1 tablett) skall överlåtas till kunden på en gång, förutom i de situationer nämda i productresumén, då det är nödvändigt att ta dubbel dos. 2.) Innan läkemedelspreparatet kan överlåtas till kunden, skall apotekets farmaceutiska personal informera kunden enligt den läkemedelsinformation som innehavare av försäljningstillståndet har erbjudit.
E403;Vain erikoissairaanhoidon neurologian tai psykiatrian yksiköiden lääkäreiden tai muiden e.m. erikoisalojen ADHD-oireyhtymän hoitoon perehtyneiden erikoislääkäreiden määräyksellä.;Endast på ordination av läkare från specialistsjukvårdens enheter inom neurologi eller psykiatri, eller av läkare med specialistkompetens i ovan nämnda områden och med erfarenhet av vård av ADHD-syndrom.
E404;Valmistetta saadaan määrätä raskauden keskeytykseen yhdessä mifepristonin kanssa vain kansallisen lainsäädännön mukaisesti raskauden keskeyttämissairaalaksi hyväksytystä sairaalassa. Valmistetta saadaan luovuttaa käyttöön sairaalasta potilaalle vain yhden tabletin pakkauksissa, isommat pakkauskoot on tarkoitettu sairaalakäyttöön. Valmistetta ei saa määrätä toimitettavaksi apteekista potilaalle.;Preparatet får ordineras för avbrytande av graviditet tillsammans med mifepriston endast enligt den nationella lagstiftningen i sådant sjukhus som är godkänt som abortsjukhus. Preparatet får överlåtas till bruk från sjukhuset till patienten endast i förpackningar av en tablett, större förpackningar är avsedda för sjukhusbruk. Preparatet får inte förskrivas åt patienten för expediering via apotek.
E408;Hoito tulee aloittaa ja hoitoa tulee jatkaa syöpähoitoihin perehtyneen lääkärin valvonnassa. Lääkkeen määrääminen ja toimittaminen naisille, jotka voivat tulla raskaaksi, on rajoitettu 30 päivän lääkitykseen yhdellä reseptillä, ja hoidon jatkaminen vaatii uuden lääkemääräyksen. Naisille, jotka voivat tulla raskaaksi, kirjoitettu lääkemääräys on voimassa seitsemän (7) päivää lääkemääräyksen kirjoittamisesta.;Behandling ska initieras och övervakas av en läkare som har erfarenhet av cancerbehandling. Förskrivning och expediering av läkemedlet åt fertila kvinnor begränsas till behandling för 30 dygn med ett och samma recept, och fortsatt behandling förutsätter ett nytt recept. Recept som utfärdats åt fertila kvinnor är i kraft i sju (7) dygn från och med förskrivningsdatum.
E10;Valmistetta saadaan käyttää indikaatiolla "miesten eräät vahingolliset seksuaalitoiminnan häiriöt" vain mielisairaaloissa ja niiden valvomassa avohoidossa sekä kehitysvammalaitoksissa psykiatrian erikoislääkäreiden valvonnassa ja indikaatiolla "prostatakarsinooma" vain kirurgian sekä syöpätautien ja sädehoidon erikoislääkäreiden määräyksellä ja indikaatiolla "naisten vaikeat androgeeniperäiset oireet" vain naistentautien ja synnytysten sekä iho- ja sukupuolitautien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Preparatet får användas i indikation "Vissa skadliga störningar i sexualfunktionen hos män" endast i mentalsjukhus och i av dem övervakad öppenvård samt i inrättningar för psykiskt efterblivna i vård övervakad av specialister i psykiatri och i indikation "prostatakarcinom" endast mot recept utfärdade av specialister i kirurgi samt av specialister i cancersjukdomar och radiologi och i indikation "svåra androgenrelaterade symptom hos kvinnor" endast mot recept utfärdade av specialister i kvinnosjukdomar och förlossningar samt av specialister i hud- och könssjukdomar och i av dem påbörjad eftervård.
E100;Hoidon aloittavan lääkärin tulee olla perehtynyt kroonisen hepatiitti B-infektion hoitoon.;Behandlingen bör initieras av en läkare med erfarenhet av behandling av kronisk hepatit B-infektion.
E457;Tämä lääke on annettava allergiasairauksien diagnostiikkaan ja hoitoon pätevöityneen terveydenhuollon ammattilaisen valvonnassa.;Detta läkemedel ska administreras under överinseende av hälso- och sjukvårdspersonal som är kvalificerad att diagnostisera och behandla allergiska sjukdomar.
E459;Epilepsian hoitoon perehtyneen lääkärin tulee aloittaa hoito valmisteella ja valvoa sitä. Valmistetta määrätään ja toimitetaan noudattaen valmisteen valvottua saatavuusohjelmaa (ks. valmisteyhteenvedon kohta 4.4).;Preparatet ska sättas in och ges under övervakning av läkare med erfarenhet av behandling av epilepsi. Preparatet förskrivs och lämnas ut i enlighet med programmet för kontrollerad tillgång till preparatet (se avsnitt 4.4).
E460;Valmiste on annettava erikoistuneessa hoitoyksikössä, jossa on kokemusta hematopoieettisesta kantasolusiirrosta (HSCT).;Preparatet måste ges på en specialklinik med erfarenhet av hematopoetisk stamcellstransplantation (HSCT).
E488;Hoidon aloittavalla lääkärillä on oltava kokemusta sellaisten potilaiden hoidosta, joilla on todettu progeriaoireyhtymä tai harvinaisia geneettisiä metabolisia oireyhtymiä.;Behandlingen ska inledas av en läkare med erfarenhet av att behandla patienter med bekräftade progeroida syndrom eller patienter med sällsynta genetiska metabola syndrom.
E467;Lääkehoidon aloittaa aikuisille psykiatrian tai neurologian alojen erikoislääkäri, ja kun ei-lääkkeelliset hoitomuodot yksinään eivät ole riittäviä. Jatkohoito voidaan vakiintuneessa vaiheessa toteuttaa niin, että määräävä lääkäri konsultoi tarvittaessa ADHD:n hoitoon perehtynyttä lääkäriä.;Läkemedelsbehandlingen inleds hos vuxna av en specialistläkare inom psykiatri eller neurologi och när enbart icke-medicinska behandlingsformer inte är tillräckliga.  Den fortsatta behandlingen kan i ett etablerat skede genomföras så att den förskrivande läkaren vid behov konsulterar en läkare som är insatt i behandlingen av ADHD.
E485;Lääkäri, jolla on kokemusta synnynnäisten aineenvaihduntahäiriöiden hallinnasta, aloittaa ja valvoo hoitoa sairaalassa.;Behandling ska initieras och övervakas på sjukhus av läkare med erfarenhet av att behandla medfödda ämnesomsättningsrubbningar.
E424;Vain naistentautien ja synnytysten sekä ihotautien erikoislääkärin tai hänen valvonnassaan toimivan lääkärin määräyksellä. Lääkkeen määrääminen ja toimittaminen naisille, jotka voivat tulla raskaaksi, on rajoitettu 30 päivän lääkitykseen yhdellä reseptillä, ja hoidon jatkaminen vaatii uuden lääkemääräyksen. Naisille, jotka voivat tulla raskaaksi, kirjoitettu lääkemääräys on voimassa seitsemän (7) päivää lääkemääräyksen kirjoittamisesta.;Endast mot recept utfärdat av eller under överinseende av specialist i kvinnosjukdomar och förlossningar samt av specialist i hudsjukdomar. Förskrivning och expediering av läkemedlet åt fertila kvinnor begränsas till behandling för 30 dygn med ett och samma recept, och fortsatt behandling förutsätter ett nytt recept. Recept som utfärdats åt fertila kvinnor är i kraft i sju (7) dygn från och med förskrivningsdatum.
E214;Hoito tulee aloittaa ja sen tulee tapahtua ainoastaan pulmonaaliverenpaineen hoitoon perehtyneen lääkärin määräyksestä ja seurannassa. Hoito aloitetaan lääkärin tarkassa valvonnassa paikassa, jossa voidaan antaa tehohoitoa.;Behandlingen skall initieras och endast ges under ledning och uppföljning av läkare som har erfarenhet av behandling av pulmonarhypertension. Behandlingen påbörjas under sträng övervakning av läkare, på ett ställe där akutvård kan ges.
E487;Valmistetta saa antaa vain syöpälääkkeiden käyttöön perehtyneen terveydenhuollon ammattilaisen valvonnassa hoitokeskuksessa, jossa on valmius vaikea-asteisten reaktioiden, kuten sytokiinioireyhtymän hoitoon.;Preparatet får endast administreras under överinseende av hälso- eller sjukvårdspersonal med utbildning i användning av cancerläkemedel, i ett behandlingscentrum med beredskap att hantera allvarliga reaktioner såsom cytokinfrisättningssyndrom.
E489;Hoidon aloittavalla lääkärillä on oltava kokemusta sellaisten potilaiden hoidosta, joille on tehty kiinteän elimen siirto tai hematopoieettinen kantasolusiirto.;Behandling ska initieras av läkare med erfarenhet av att behandla patienter som har genomgått transplantation av solida organ eller transplantation av hematopoetiska stamceller.
E490;Valmistetta saa antaa vain syövän hoitoon perehtyneen lääkärin valvonnassa kontrolloiduissa olosuhteissa, missä on valmius haittavaikutusten, mukaan lukien kiireellistä hoitoa vaativien haittavaikutusten, hoitoon.;Preparatet ska administreras under övervakning av läkare med erfarenhet av cancerbehandling, i en kontrollerad miljö där adekvata faciliteter finns tillgängliga för hantering av biverkningar, inklusive sådana som kräver akuta åtgärder.
E456;Valmisteen käyttöaiheissa mainittujen sairauksien hoitoon perehtyneen lääkärin on aloitettava hoito ja valvottava sitä.;Behandlingen måste påbörjas och övervakas av en läkare med erfarenhet av behandling av sjukdomar nämnda i produktens terapeutiska indikationer.
E283;Hoito tulee aloittaa ja hoitoa tulee jatkaa medullaarisen kilpirauhaskarsinooman hoitoon ja syövän lääkehoitoon perehtyneen lääkärin valvonnassa, jolla on kokemusta EKG:n arvioinnista.;Behandlingen ska inledas och övervakas av läkare med erfarenhet av behandling av MTC och cancerläkemedel samt kompetens att tolka elektrokardiogram (EKG).
E250;Hoito tulee aloittaa ja hoitoa tulee jatkaa syöpähoitoihin perehtyneen lääkärin valvonnassa.;Behandling ska initieras och övervakas av en läkare som har erfarenhet av cancerbehandling.
E465;Lääkehoidon aloittaa lapsille ja nuorille lasten- tai nuorisopsykiatri, lastenlääkäri tai -neurologi tai muu lasten tai nuorten psyykkiseen ja fyysiseen kehitykseen ja ADHD:n hoitoon perehtynyt lääkäri, ja kun ei-lääkkeelliset hoitomuodot yksinään eivät ole riittäviä. Jatkohoito voidaan vakiintuneessa vaiheessa toteuttaa niin, että määräävä lääkäri konsultoi tarvittaessa ADHD:n hoitoon perehtynyttä lääkäriä.;Läkemedelsbehandlingen inleds hos barn och unga av en barn- eller ungdomspsykiater, en barnläkare eller    -neurolog eller en annan läkare som är insatt i barns och ungas psykiska och fysiska utveckling och ADHD-behandling och när enbart icke-medicinska behandlingsformer inte är tillräckliga. Den fortsatta behandlingen kan i ett etablerat skede genomföras så att den förskrivande läkaren vid behov konsulterar en läkare som är insatt i behandlingen av ADHD.
E468;Hoito on aloitettava valmisteen käyttöaiheissa mainittujen sairauksien hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen måste påbörjas under övervakning av en läkare med erfarenhet av behandling av sjukdomar nämnda i produktens terapeutiska indikationer.
E469;CAR-T-soluhoito annetaan kvalifioidussa hoitokeskuksessa hematologisten syöpien hoitoon perehtyneen ja CAR-T-soluhoitojen antamiseen koulutetun lääkärin ohjauksessa ja valvonnassa.;CAR-T-cellterapi måste administreras på ett kvalificerat behandlingscenter. Behandlingen ska övervakas under ledning av läkare som har erfarenhet av behandling av hematologiska maligniteter och som tränats i att administrera och hantera patienter som behandlats med CAR T-cellterapi.
E470;Hoito on aloitettava sellaisen lääkärin valvonnassa, jolla on asianmukainen pätevyys kasvuhäiriöiden tai luuston dysplasioiden hoidossa.;Behandling ska initieras och ledas av läkare med lämpliga kvalifikationer för behandling av tillväxtrubbningar eller skelettdysplasier.
E471;Hoidon saa aloittaa lääkäri, jolla on kokemusta immunosuppressiivisten lääkeaineiden annosta ja seurannasta.;Behandling ska sättas in av läkare med erfarenhet av administrering och övervakning av immunsuppressiva läkemedel.
E472;Valmistetta määräävän ja hoitoa valvovan lääkärin on oltava perehtynyt lihavuuden hoitoon ja sen taustalla olevan geneettisen etiologian selvittämiseen.;Behandling ska förskrivas och övervakas av läkare med expertis inom övervikt med underliggande genetisk etiologi.
E473;Hoito on aloitettava hematologisiin sairauksiin perehtyneen terveydenhuollon ammattilaisen valvonnassa.;Behandling ska sättas in under överinseende av hälso- och sjukvårdspersonal med erfarenhet av behandling av patienter med hematologiska sjukdomar.
